2024-04-01 00:00:27.291 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:27.2915570+07:00"
2024-04-01 00:00:28.304 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:28.3042053+07:00"
2024-04-01 00:00:28.305 +07:00 [INF] Task started running
2024-04-01 00:00:28.306 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:28.3067668+07:00"
2024-04-01 00:00:29.323 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:29.3231633+07:00"
2024-04-01 00:00:29.324 +07:00 [INF] Task started running
2024-04-01 00:00:29.325 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:29.3254593+07:00"
2024-04-01 00:00:30.338 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:30.3383448+07:00"
2024-04-01 00:00:30.340 +07:00 [INF] Task started running
2024-04-01 00:00:30.341 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:30.3413159+07:00"
2024-04-01 00:00:31.345 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:31.3458482+07:00"
2024-04-01 00:00:31.349 +07:00 [INF] Task started running
2024-04-01 00:00:31.352 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:31.3520443+07:00"
2024-04-01 00:00:32.360 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:32.3601525+07:00"
2024-04-01 00:00:32.364 +07:00 [INF] Task started running
2024-04-01 00:00:32.368 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:32.3682577+07:00"
2024-04-01 00:00:33.383 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:33.3839720+07:00"
2024-04-01 00:00:33.386 +07:00 [INF] Task started running
2024-04-01 00:00:33.388 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:33.3886113+07:00"
2024-04-01 00:00:34.408 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:34.4088148+07:00"
2024-04-01 00:00:34.411 +07:00 [INF] Task started running
2024-04-01 00:00:34.413 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:34.4133802+07:00"
2024-04-01 00:00:35.428 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:35.4282719+07:00"
2024-04-01 00:00:35.430 +07:00 [INF] Task started running
2024-04-01 00:00:35.431 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:35.4315909+07:00"
2024-04-01 00:00:36.444 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:36.4442540+07:00"
2024-04-01 00:00:36.448 +07:00 [INF] Task started running
2024-04-01 00:00:36.452 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:36.4523593+07:00"
2024-04-01 00:00:37.462 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:37.4625037+07:00"
2024-04-01 00:00:37.465 +07:00 [INF] Task started running
2024-04-01 00:00:37.467 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:37.4675886+07:00"
2024-04-01 00:00:38.483 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:38.4837084+07:00"
2024-04-01 00:00:38.491 +07:00 [INF] Task started running
2024-04-01 00:00:38.492 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:38.4926336+07:00"
2024-04-01 00:00:39.498 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:39.4989046+07:00"
2024-04-01 00:00:39.502 +07:00 [INF] Task started running
2024-04-01 00:00:39.505 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:39.5054083+07:00"
2024-04-01 00:00:40.513 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:40.5138967+07:00"
2024-04-01 00:00:40.516 +07:00 [INF] Task started running
2024-04-01 00:00:40.517 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:40.5172899+07:00"
2024-04-01 00:00:41.531 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:41.5319605+07:00"
2024-04-01 00:00:41.537 +07:00 [INF] Task started running
2024-04-01 00:00:41.539 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:41.5396892+07:00"
2024-04-01 00:00:42.554 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:42.5548962+07:00"
2024-04-01 00:00:42.556 +07:00 [INF] Task started running
2024-04-01 00:00:42.558 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:42.5586143+07:00"
2024-04-01 00:00:43.570 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:43.5700248+07:00"
2024-04-01 00:00:43.574 +07:00 [INF] Task started running
2024-04-01 00:00:43.576 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:43.5760463+07:00"
2024-04-01 00:00:44.583 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:44.5838679+07:00"
2024-04-01 00:00:44.586 +07:00 [INF] Task started running
2024-04-01 00:00:44.587 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:44.5879678+07:00"
2024-04-01 00:00:45.605 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:45.6058826+07:00"
2024-04-01 00:00:45.609 +07:00 [INF] Task started running
2024-04-01 00:00:45.611 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:45.6111169+07:00"
2024-04-01 00:00:46.614 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:46.6144701+07:00"
2024-04-01 00:00:46.617 +07:00 [INF] Task started running
2024-04-01 00:00:46.619 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:46.6197799+07:00"
2024-04-01 00:00:47.627 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:47.6272538+07:00"
2024-04-01 00:00:47.629 +07:00 [INF] Task started running
2024-04-01 00:00:47.630 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:47.6305374+07:00"
2024-04-01 00:00:48.644 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:48.6449023+07:00"
2024-04-01 00:00:48.648 +07:00 [INF] Task started running
2024-04-01 00:00:48.651 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:48.6511778+07:00"
2024-04-01 00:00:49.660 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:49.6600714+07:00"
2024-04-01 00:00:49.668 +07:00 [INF] Task started running
2024-04-01 00:00:49.670 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:49.6700644+07:00"
2024-04-01 00:00:50.684 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:50.6840362+07:00"
2024-04-01 00:00:50.702 +07:00 [INF] Task started running
2024-04-01 00:00:50.705 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:50.7058449+07:00"
2024-04-01 00:00:51.718 +07:00 [INF] AmlBatchWorkerService running at: "2024-04-01T00:00:51.7189569+07:00"
2024-04-01 00:00:51.722 +07:00 [INF] Task started running
